date,copper,usd,eur
2025-08-08,78530,717.08,834.42
2025-08-07,78500,716.99,834.45
2025-08-06,78350,717.58,829.49
2025-08-05,78615,716.94,827.16
2025-08-04,78420,716.89,828.82
2025-08-01,78330,719.73,820.33
2025-07-31,78565,718.18,818.28
2025-07-30,79285,716.19,827.22
2025-07-29,79025,716.34,829.05
2025-07-28,79075,715.64,839.74
2025-07-25,79450,715.09,838.1
2025-07-24,79795,714.04,839.58
2025-07-23,79790,714.99,838.2
2025-07-22,79755,715.99,835.44
2025-07-21,79555,716.69,831.6
2025-07-18,78660,716.54,833.28
2025-07-17,78020,716.64,831.18
2025-07-16,78060,716.64,830.39
2025-07-15,77995,715.94,834.66
2025-07-14,78455,715.79,834.49
2025-07-11,78720,715.69,834.44
2025-07-10,78615,716.54,839.79
2025-07-09,79190,716.79,837.73
2025-07-08,79795,715.89,839.39
2025-07-07,79885,715.89,841.46
2025-07-04,80535,715.39,840.66
2025-07-03,80980,715.34,842.46
2025-07-02,80990,715.49,842.99
2025-07-01,80205,714.99,841.69
2025-06-30,79990,715.14,836.73
2025-06-27,80125,715.84,836.54
2025-06-26,78940,714.99,834.91
2025-06-25,78580,715.59,830.39
2025-06-24,78415,716.54,830.27
2025-06-23,78325,717.53,823.41
2025-06-20,78400,716.99,824.78
2025-06-19,78680,717.88,821.31
2025-06-18,78830,717.38,823.67
2025-06-17,78715,716.89,827.24
2025-06-16,78645,717.23,825.72
2025-06-13,78955,716.94,825.8
2025-06-12,79075,717.23,824.64
2025-06-11,79310,717.62,817.64
2025-06-10,79275,717.18,816.64
2025-06-09,78875,717.43,817.78
2025-06-06,78875,716.99,818.98
2025-06-05,78415,716.99,817.56
2025-06-04,78485,717.4,815.03
2025-06-03,78445,717.63,815.58
2025-06-02,78235,719.13,815.56
2025-05-30,78235,717.28,813.1
2025-05-29,78485,718.58,807.32
2025-05-28,78510,718.58,810.77
2025-05-27,78515,717.58,816.66
2025-05-26,78590,716.14,815.73
2025-05-23,78035,719.03,812.35
2025-05-22,78085,719.13,814.26
2025-05-21,78460,719.58,813.54
2025-05-20,78340,720.98,809.37
2025-05-19,78110,720.23,804.22
2025-05-16,78830,718.93,804.06
2025-05-15,78725,719.88,804.9
2025-05-14,78905,720.28,804.62
2025-05-13,78155,717.78,795.75
2025-05-12,78275,721.48,808.92
2025-05-09,78205,723.61,810.95
2025-05-08,78435,722.28,816.88
2025-05-07,78580,721.23,818.15
2025-05-06,78190,721.63,815.07
2025-05-05,77950,724.62,819.53
2025-05-04,77950,724.62,817.58
2025-05-03,77950,724.62,817.58
2025-05-02,77950,725.92,819.62
2025-05-01,77950,725.62,819.28
2025-04-30,77950,725.77,823.95
2025-04-29,78035,726.22,825.55
2025-04-27,78145,726.82,824.7
2025-04-25,78145,727.27,822.52
2025-04-24,78115,728.86,825.42
2025-04-23,78185,728.61,828.05
2025-04-22,77195,729.51,840.22
2025-04-21,76550,727.42,836.2
2025-04-18,76310,728.51,827.13
2025-04-17,76095,729.56,827.89
2025-04-16,75920,731.41,827.94
2025-04-15,76195,729.76,826.88
2025-04-14,76145,729.46,827.85
2025-04-11,74550,730.21,826.66
2025-04-10,75105,733.35,804.23
2025-04-09,72330,733.8,808.89
